Loci	N30	T30	O30	N30p	T30p	O30p	N20	T20	N20p	T20p
01_11028227	0.209	0.281	0.236	0.251	0.217	0.071	0.189	0.277	0.276	0.228
01_23416158	-0.070	0.370	0.132	0.793	0.119	0.309	-0.088	0.364	0.755	0.151
01_23416385	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
01_24898306	1.000	-0.000	0.728	0.023	1.000	0.023	NA	NA	NA	NA
01_28115838	-0.059	0.359	0.166	0.539	0.033	0.101	-0.107	0.305	0.410	0.068
01_38259617	NA	-0.014	-0.013	NA	0.985	0.985	NA	-0.016	NA	0.985
01_41133456	0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
01_46132350	NA	-0.015	-0.014	NA	0.986	0.986	NA	0.000	NA	1.000
01_50209217	-0.138	0.098	-0.023	0.518	0.463	0.470	-0.127	-0.100	0.587	0.710
01_50209426	0.081	-0.115	-0.007	0.532	0.642	0.718	0.106	-0.119	0.512	0.629
01_50209565	0.000	1.000	0.660	1.000	0.015	0.015	0.000	1.000	1.000	0.022
01_52129252	-0.014	NA	-0.013	0.985	NA	0.985	-0.017	NA	0.981	NA
01_52129283	-0.000	1.000	0.686	1.000	0.016	0.016	NA	1.000	NA	0.011
01_52129308	-0.000	1.000	0.673	1.000	0.017	0.017	NA	1.000	NA	0.020
01_52129465	-0.075	0.131	0.045	0.802	0.416	0.524	-0.088	-0.100	0.756	0.729
01_56475299	0.000	0.000	0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
01_62505063	0.185	0.147	0.167	0.205	0.314	0.094	0.101	0.159	0.443	0.344
01_62505248	0.210	0.133	0.174	0.193	0.366	0.094	0.224	0.159	0.181	0.347
01_67566001	-0.013	NA	-0.013	0.988	NA	0.988	NA	NA	NA	NA
01_68924586	NA	-0.016	-0.015	NA	0.983	0.983	NA	-0.016	NA	0.989
01_75294824	0.021	0.140	0.081	0.621	0.320	0.331	0.016	0.066	0.609	0.538
01_79376242	-0.000	0.661	0.493	1.000	0.046	0.046	0.000	-0.000	1.000	1.000
01_79376427	NA	-0.014	-0.014	NA	0.986	0.986	NA	-0.015	NA	0.985
01_79376603	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
01_81821673	-0.152	0.206	0.032	0.318	0.175	0.473	-0.265	0.034	0.154	0.598
01_84118179	0.537	-0.063	0.249	0.001	0.466	0.042	0.510	-0.164	0.008	0.275
01_94194544	0.291	0.108	0.202	0.066	0.374	0.039	0.183	-0.060	0.245	0.505
01_95401961	0.060	0.002	0.030	0.561	0.711	0.464	-0.127	-0.158	0.598	0.460
01_96494873	NA	-0.013	-0.013	NA	0.985	0.985	NA	-0.015	NA	0.989
